notation,method,cases,in_scope,oos,P@1,R@5,MRR,Refusal-Rate,False-Pick-Rate
BPMN,A,120,120,0,0.2167,0.525,0.3303,,
BPMN,B,120,120,0,0.2,0.35,0.255,,
BPMN,C,120,120,0,0.0583,0.0833,0.0683,,
BPMN,D,120,120,0,0.2667,0.35,0.294,,
BPMN,E,120,120,0,0.0667,0.0667,0.0667,,
BPMN,F,120,120,0,0.5167,0.7667,0.6161,,
BPMN,S,120,120,0,0.25,0.5083,0.3428,,
CMMN,A,120,120,0,0.275,0.6333,0.4108,,
CMMN,B,120,120,0,0.2417,0.4417,0.3182,,
CMMN,C,120,120,0,0.0917,0.1333,0.1058,,
CMMN,D,120,120,0,0.2667,0.3083,0.2812,,
CMMN,E,120,120,0,0.0667,0.0667,0.0667,,
CMMN,F,120,120,0,0.5083,0.775,0.6083,,
CMMN,S,120,120,0,0.2417,0.6417,0.3911,,
