process,method,cases,P@1,R@5,MRR,Refusal-Rate,False-Pick-Rate
proc_001,A,8,0.25,0.25,0.25,,
proc_001,B,8,0.5,0.625,0.5625,,
proc_001,C,8,0.0,0.0,0.0,,
proc_001,D,8,0.125,0.125,0.125,,
proc_001,E,8,0.125,0.125,0.125,,
proc_001,F,8,0.375,0.75,0.525,,
proc_001,S,8,0.125,0.625,0.3438,,
proc_002,A,8,0.25,0.5,0.3438,,
proc_002,B,8,0.0,0.0,0.0,,
proc_002,C,8,0.125,0.25,0.15,,
proc_002,D,8,0.25,0.25,0.25,,
proc_002,E,8,0.0,0.0,0.0,,
proc_002,F,8,0.375,0.75,0.5,,
proc_002,S,8,0.125,0.25,0.15,,
proc_003,A,8,0.0,0.125,0.025,,
proc_003,B,8,0.125,0.375,0.2083,,
proc_003,C,8,0.0,0.0,0.0,,
proc_003,D,8,0.0,0.25,0.0625,,
proc_003,E,8,0.125,0.125,0.125,,
proc_003,F,8,0.125,0.625,0.3229,,
proc_003,S,8,0.125,0.375,0.25,,
proc_004,A,8,0.0,0.625,0.2396,,
proc_004,B,8,0.0,0.25,0.1042,,
proc_004,C,8,0.0,0.0,0.0,,
proc_004,D,8,0.25,0.375,0.2917,,
proc_004,E,8,0.125,0.125,0.125,,
proc_004,F,8,0.375,0.5,0.4062,,
proc_004,S,8,0.125,0.375,0.1875,,
proc_005,A,8,0.0,0.5,0.1979,,
proc_005,B,8,0.125,0.375,0.2292,,
proc_005,C,8,0.0,0.125,0.0625,,
proc_005,D,8,0.25,0.25,0.25,,
proc_005,E,8,0.0,0.0,0.0,,
proc_005,F,8,0.625,0.625,0.625,,
proc_005,S,8,0.0,0.25,0.125,,
proc_007,A,8,0.375,0.75,0.4833,,
proc_007,B,8,0.25,0.25,0.25,,
proc_007,C,8,0.0,0.125,0.0625,,
proc_007,D,8,0.25,0.25,0.25,,
proc_007,E,8,0.0,0.0,0.0,,
proc_007,F,8,0.5,0.75,0.625,,
proc_007,S,8,0.25,0.625,0.375,,
proc_008,A,8,0.125,0.625,0.3063,,
proc_008,B,8,0.25,0.25,0.25,,
proc_008,C,8,0.0,0.0,0.0,,
proc_008,D,8,0.25,0.375,0.275,,
proc_008,E,8,0.0,0.0,0.0,,
proc_008,F,8,0.625,0.75,0.6667,,
proc_008,S,8,0.25,0.5,0.3229,,
proc_009,A,8,0.0,0.25,0.1042,,
proc_009,B,8,0.0,0.25,0.0833,,
proc_009,C,8,0.125,0.125,0.125,,
proc_009,D,8,0.0,0.0,0.0,,
proc_009,E,8,0.0,0.0,0.0,,
proc_009,F,8,0.5,0.875,0.6562,,
proc_009,S,8,0.125,0.5,0.2708,,
proc_010,A,8,0.625,0.75,0.65,,
proc_010,B,8,0.125,0.375,0.25,,
proc_010,C,8,0.0,0.0,0.0,,
proc_010,D,8,0.25,0.25,0.25,,
proc_010,E,8,0.125,0.125,0.125,,
proc_010,F,8,0.375,0.875,0.5458,,
proc_010,S,8,0.125,0.625,0.3021,,
proc_011,A,8,0.375,0.625,0.4792,,
proc_011,B,8,0.375,0.5,0.4375,,
proc_011,C,8,0.375,0.375,0.375,,
proc_011,D,8,0.5,0.625,0.5625,,
proc_011,E,8,0.25,0.25,0.25,,
proc_011,F,8,0.375,0.625,0.4792,,
proc_011,S,8,0.5,0.625,0.5417,,
proc_012,A,8,0.125,0.375,0.1812,,
proc_012,B,8,0.25,0.25,0.25,,
proc_012,C,8,0.0,0.0,0.0,,
proc_012,D,8,0.375,0.375,0.375,,
proc_012,E,8,0.0,0.0,0.0,,
proc_012,F,8,0.625,0.875,0.75,,
proc_012,S,8,0.375,0.5,0.4375,,
proc_013,A,8,0.375,0.75,0.5312,,
proc_013,B,8,0.0,0.25,0.0875,,
proc_013,C,8,0.0,0.0,0.0,,
proc_013,D,8,0.125,0.5,0.2708,,
proc_013,E,8,0.0,0.0,0.0,,
proc_013,F,8,0.625,0.75,0.6875,,
proc_013,S,8,0.25,0.5,0.375,,
proc_014,A,8,0.5,0.5,0.5,,
proc_014,B,8,0.5,0.625,0.5625,,
proc_014,C,8,0.125,0.125,0.125,,
proc_014,D,8,0.375,0.375,0.375,,
proc_014,E,8,0.0,0.0,0.0,,
proc_014,F,8,0.625,0.875,0.75,,
proc_014,S,8,0.25,0.625,0.3417,,
proc_015,A,8,0.375,0.875,0.5729,,
proc_015,B,8,0.125,0.375,0.2125,,
proc_015,C,8,0.0,0.0,0.0,,
proc_015,D,8,0.625,0.75,0.6667,,
proc_015,E,8,0.125,0.125,0.125,,
proc_015,F,8,0.625,1.0,0.775,,
proc_015,S,8,0.375,0.5,0.4,,
proc_016,A,8,0.5,0.875,0.6667,,
proc_016,B,8,0.25,0.5,0.3063,,
proc_016,C,8,0.125,0.125,0.125,,
proc_016,D,8,0.625,0.625,0.625,,
proc_016,E,8,0.125,0.125,0.125,,
proc_016,F,8,0.75,1.0,0.8167,,
proc_016,S,8,0.375,0.75,0.4896,,
proc_018,A,8,0.0,0.25,0.0729,,
proc_018,B,8,0.25,0.375,0.2812,,
proc_018,C,8,0.0,0.0,0.0,,
proc_018,D,8,0.0,0.125,0.0312,,
proc_018,E,8,0.125,0.125,0.125,,
proc_018,F,8,0.625,0.75,0.6562,,
proc_018,S,8,0.5,0.625,0.5312,,
proc_019,A,8,0.125,0.5,0.275,,
proc_019,B,8,0.375,0.75,0.5417,,
proc_019,C,8,0.125,0.25,0.1667,,
proc_019,D,8,0.25,0.375,0.2812,,
proc_019,E,8,0.25,0.25,0.25,,
proc_019,F,8,0.625,0.875,0.6979,,
proc_019,S,8,0.25,0.75,0.4688,,
proc_020,A,8,0.125,0.625,0.3063,,
proc_020,B,8,0.5,0.875,0.6083,,
proc_020,C,8,0.0,0.125,0.025,,
proc_020,D,8,0.375,0.375,0.375,,
proc_020,E,8,0.25,0.25,0.25,,
proc_020,F,8,0.625,0.75,0.6875,,
proc_020,S,8,0.0,0.75,0.2708,,
proc_021,A,8,0.5,0.75,0.5667,,
proc_021,B,8,0.125,0.125,0.125,,
proc_021,C,8,0.0,0.0,0.0,,
proc_021,D,8,0.25,0.25,0.25,,
proc_021,E,8,0.0,0.0,0.0,,
proc_021,F,8,0.5,0.75,0.6042,,
proc_021,S,8,0.0,0.375,0.125,,
proc_022,A,8,0.25,0.625,0.4,,
proc_022,B,8,0.375,0.625,0.4625,,
proc_022,C,8,0.125,0.125,0.125,,
proc_022,D,8,0.125,0.125,0.125,,
proc_022,E,8,0.0,0.0,0.0,,
proc_022,F,8,0.625,0.75,0.6562,,
proc_022,S,8,0.125,0.5,0.2604,,
proc_023,A,8,0.125,0.625,0.375,,
proc_023,B,8,0.375,0.5,0.4167,,
proc_023,C,8,0.25,0.25,0.25,,
proc_023,D,8,0.125,0.125,0.125,,
proc_023,E,8,0.0,0.0,0.0,,
proc_023,F,8,0.625,0.875,0.75,,
proc_023,S,8,0.375,0.875,0.5625,,
proc_024,A,8,0.25,0.5,0.3167,,
proc_024,B,8,0.0,0.25,0.0938,,
proc_024,C,8,0.0,0.125,0.0417,,
proc_024,D,8,0.0,0.125,0.0312,,
proc_024,E,8,0.0,0.0,0.0,,
proc_024,F,8,0.5,0.75,0.625,,
proc_024,S,8,0.375,0.5,0.4,,
proc_025,A,8,0.125,0.5,0.275,,
proc_025,B,8,0.25,0.375,0.2917,,
proc_025,C,8,0.125,0.125,0.125,,
proc_025,D,8,0.125,0.125,0.125,,
proc_025,E,8,0.125,0.125,0.125,,
proc_025,F,8,0.375,0.5,0.4,,
proc_025,S,8,0.125,0.5,0.2437,,
proc_026,A,8,0.375,0.5,0.4375,,
proc_026,B,8,0.375,0.375,0.375,,
proc_026,C,8,0.0,0.0,0.0,,
proc_026,D,8,0.375,0.375,0.375,,
proc_026,E,8,0.0,0.0,0.0,,
proc_026,F,8,0.625,0.875,0.7188,,
proc_026,S,8,0.625,1.0,0.7542,,
proc_027,A,8,0.5,0.75,0.5667,,
proc_027,B,8,0.125,0.125,0.125,,
proc_027,C,8,0.25,0.25,0.25,,
proc_027,D,8,0.5,0.5,0.5,,
proc_027,E,8,0.0,0.0,0.0,,
proc_027,F,8,0.5,0.625,0.5625,,
proc_027,S,8,0.5,0.625,0.5625,,
proc_029,A,8,0.0,0.5,0.2188,,
proc_029,B,8,0.125,0.375,0.2292,,
proc_029,C,8,0.125,0.375,0.2292,,
proc_029,D,8,0.125,0.25,0.1562,,
proc_029,E,8,0.125,0.125,0.125,,
proc_029,F,8,0.125,0.75,0.2729,,
proc_029,S,8,0.125,0.5,0.2604,,
proc_030,A,8,0.0,0.5,0.1604,,
proc_030,B,8,0.125,0.5,0.2917,,
proc_030,C,8,0.0,0.0,0.0,,
proc_030,D,8,0.25,0.375,0.3125,,
proc_030,E,8,0.0,0.0,0.0,,
proc_030,F,8,0.5,0.75,0.6042,,
proc_030,S,8,0.25,0.625,0.375,,
proc_031,A,8,0.75,1.0,0.875,,
proc_031,B,8,0.625,0.625,0.625,,
proc_031,C,8,0.125,0.125,0.125,,
proc_031,D,8,0.75,0.75,0.75,,
proc_031,E,8,0.0,0.0,0.0,,
proc_031,F,8,0.75,1.0,0.875,,
proc_031,S,8,0.375,0.875,0.5833,,
proc_032,A,8,0.25,0.625,0.3854,,
proc_032,B,8,0.0,0.125,0.025,,
proc_032,C,8,0.125,0.125,0.125,,
proc_032,D,8,0.0,0.125,0.0625,,
proc_032,E,8,0.0,0.0,0.0,,
proc_032,F,8,0.375,0.75,0.5312,,
proc_032,S,8,0.125,0.25,0.1875,,
proc_033,A,8,0.125,0.75,0.3542,,
proc_033,B,8,0.125,0.625,0.3125,,
proc_033,C,8,0.125,0.125,0.125,,
proc_033,D,8,0.5,0.5,0.5,,
proc_033,E,8,0.125,0.125,0.125,,
proc_033,F,8,0.5,0.75,0.5938,,
proc_033,S,8,0.25,0.875,0.5104,,
