case_id,expected_mode,expected_skill,difficulty,A0_routing,A0_top1,A0_accept,A0_skill,B0_routing,B0_top1,B0_accept,B0_skill,C0_routing,C0_top1,C0_accept,C0_skill,D0_routing,D0_top1,D0_accept,D0_skill,E0_routing,E0_top1,E0_accept,E0_skill,A1_routing,A1_top1,A1_accept,A1_skill,B1_routing,B1_top1,B1_accept,B1_skill,C1_routing,C1_top1,C1_accept,C1_skill,E1_routing,E1_top1,E1_accept,E1_skill,D1_routing,D1_top1,D1_accept,D1_skill
dy-01,dynamic,,hard,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,
dy-02,dynamic,,hard,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,,,,,0,1,1,0,,,,
dy-03,dynamic,,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
dy-04,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,
dy-05,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,,,,1,0,0,1,,,,
dy-06,dynamic,,hard,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,0,0,1,0,,,,
dy-07,dynamic,,easy,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,,,,,1,0,1,1,,,,
dy-08,dynamic,,hard,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,0,0,1,0,,,,
dy-09,dynamic,,hard,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,,,,,0,1,1,0,,,,
dy-10,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,
dy-11,dynamic,,easy,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,,,1,1,1,1,,,,
dy-12,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,1,0,0,1,,,,
dy-13,dynamic,,easy,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,0,1,1,1,1,1,1,,,,,1,0,0,1,,,,
dy-14,dynamic,,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
dy-15,dynamic,,easy,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,
dy-16,dynamic,,hard,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,,,,,0,1,1,0,0,1,1,0,,,,,0,1,1,0,,,,
dy-17,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,1,0,0,1,,,,
dy-18,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,1,0,0,1,,,,
dy-19,dynamic,,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
dy-20,dynamic,,hard,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,,,,,0,1,1,0,0,1,1,0,,,,,0,1,1,0,,,,
dy-21,dynamic,,hard,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,
dy-22,dynamic,,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,,,,
dy-23,dynamic,,hard,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,,,,,1,0,1,1,1,1,1,1,,,,,1,0,0,1,,,,
dy-24,dynamic,,hard,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,,,,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,,,
dy-25,dynamic,,hard,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,0,1,1,1,1,1,1,,,,,1,1,1,1,,,,
sa-01,skill_adjusted,proc_machine_breakdown,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,,,,,,,,
sa-02,skill_adjusted,proc_expense_approval,hard,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
sa-03,skill_adjusted,case_employee_onboarding,hard,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,,,,,,,,
sa-04,skill_adjusted,proc_invoice_dispute,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
sa-05,skill_adjusted,case_employee_onboarding,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-06,skill_adjusted,proc_machine_breakdown,hard,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
sa-07,skill_adjusted,proc_employee_offboarding,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-08,skill_adjusted,proc_customer_dispute,easy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-09,skill_adjusted,proc_recruiting,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-10,skill_adjusted,proc_invoice_dispute,easy,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,
sa-11,skill_adjusted,case_employee_onboarding,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
sa-12,skill_adjusted,proc_machine_breakdown,easy,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
sa-13,skill_adjusted,proc_product_recall,easy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-14,skill_adjusted,proc_expense_approval,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-15,skill_adjusted,proc_customer_dispute,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa-16,skill_adjusted,case_employee_onboarding,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sa-17,skill_adjusted,proc_recruiting,easy,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,
sa-18,skill_adjusted,proc_invoice_dispute,hard,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,
sa-19,skill_adjusted,proc_employee_offboarding,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
sa-20,skill_adjusted,proc_machine_breakdown,easy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,
sg-01,skill_guided,proc_machine_breakdown,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-02,skill_guided,proc_expense_approval,hard,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-03,skill_guided,case_employee_onboarding,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-04,skill_guided,proc_invoice_dispute,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-05,skill_guided,proc_customer_dispute,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-06,skill_guided,proc_employee_offboarding,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-07,skill_guided,proc_product_recall,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
