mode,condition,method,state,cases,Routing-Acc,Skill-Pick-Acc,Top-1,Acceptable,Cand-Recall,Step-Coverage,Gap-Detection
skill_guided,A0,A,clean,19,0.9474,1.0,1.0,1.0,1.0,0.9934,
skill_guided,A1,A,enriched,20,0.95,1.0,1.0,1.0,1.0,0.9938,
skill_guided,B0,B,clean,20,0.95,1.0,1.0,1.0,1.0,0.9938,
skill_guided,B1,B,enriched,20,0.95,1.0,1.0,1.0,1.0,0.9938,
skill_guided,C0,C,clean,20,0.95,1.0,1.0,1.0,1.0,0.9938,
skill_guided,C1,C,enriched,16,1.0,1.0,1.0,1.0,1.0,1.0,
skill_guided,D0,D,clean,20,0.95,1.0,1.0,1.0,1.0,0.9938,
skill_guided,D1,D,enriched,16,1.0,1.0,1.0,1.0,1.0,1.0,
skill_guided,E0,E,clean,20,0.95,1.0,1.0,1.0,1.0,0.9938,
skill_guided,E1,E,enriched,16,1.0,1.0,1.0,1.0,1.0,1.0,
skill_adjusted,A0,A,clean,20,0.95,0.85,0.25,0.3,0.95,,0.8375
skill_adjusted,A1,A,enriched,20,0.95,0.85,0.25,0.3,0.95,,0.8375
skill_adjusted,B0,B,clean,20,0.95,0.85,0.3,0.4,0.9,,0.8375
skill_adjusted,B1,B,enriched,20,0.95,0.85,0.3,0.4,0.9,,0.8375
skill_adjusted,C0,C,clean,20,0.95,0.85,0.3,0.3,0.9,,0.8375
skill_adjusted,C1,C,enriched,3,0.6667,0.6667,0.3333,0.6667,1.0,,0.5
skill_adjusted,D0,D,clean,20,0.95,0.85,0.35,0.35,0.85,,0.8375
skill_adjusted,D1,D,enriched,1,0.0,0.0,0.0,0.0,1.0,,0.0
skill_adjusted,E0,E,clean,20,0.95,0.85,0.3,0.35,0.8,,0.8375
skill_adjusted,E1,E,enriched,1,0.0,0.0,0.0,0.0,1.0,,0.0
dynamic,A0,A,clean,25,0.6,0.6,0.64,0.88,0.96,,
dynamic,A1,A,enriched,25,0.6,0.6,0.64,0.88,1.0,,
dynamic,B0,B,clean,25,0.6,0.6,0.6,0.8,0.92,,
dynamic,B1,B,enriched,25,0.6,0.6,0.6,0.8,0.92,,
dynamic,C0,C,clean,25,0.6,0.6,0.52,0.76,0.8,,
dynamic,C1,C,enriched,4,0.75,0.75,0.0,0.75,0.25,,
dynamic,D0,D,clean,25,0.6,0.6,0.68,0.88,0.92,,
dynamic,E0,E,clean,11,0.5455,0.5455,0.3636,0.7273,0.6364,,
dynamic,E1,E,enriched,24,0.5833,0.5833,0.4167,0.5833,0.6667,,
