condition,method,state,cases,Top-1,Acceptable,Cand-Recall,Routing-Acc,Step-Coverage,Gap-Detection,Refusal-Rate,False-Pick-Rate,total_tokens,total_latency_s,total_llm_calls,avg_latency_per_case_s
A0,A,clean,40,0.175,0.175,0.575,0.6,,,,,1542135,101.7,71,2.543
A0f,A,clean,40,0.35,0.35,0.725,1.0,,,,,1470258,20.14,20,0.504
A1,A,enriched,40,0.2125,0.2125,0.6,0.6,,,,,2158202,0.0,71,0.0
A1f,A,enriched,40,0.3125,0.3125,0.75,1.0,,,,,2086325,0.0,20,0.0
B0,B,clean,40,0.075,0.075,0.275,0.6,,,,,271786,488.1,355,12.203
B0f,B,clean,40,0.1375,0.1375,0.35,1.0,,,,,197561,341.95,304,8.549
B1,B,enriched,40,0.1,0.1,0.325,0.6,,,,,291421,95.19,355,2.38
B1f,B,enriched,40,0.1375,0.1375,0.35,1.0,,,,,216787,53.57,304,1.339
C0,C,clean,40,0.0125,0.0125,0.1,0.6,,,,,217016,281.48,213,7.037
C0f,C,clean,40,0.05,0.05,0.125,1.0,,,,,144940,2004.92,162,50.123
C1,C,enriched,40,0.125,0.125,0.2,0.6,,,,,342127,348.99,213,8.725
C1f,C,enriched,40,0.1625,0.1625,0.3,1.0,,,,,271011,166.23,162,4.156
D0,D,clean,40,0.1875,0.1875,0.375,0.6,,,,,1736897,2659.32,729,66.483
D0f,D,clean,40,0.3,0.3,0.425,1.0,,,,,1649265,785.21,657,19.63
D1,D,enriched,40,0.2125,0.2125,0.375,0.6,,,,,1579387,627.2,570,15.68
D1f,D,enriched,40,0.325,0.325,0.6,1.0,,,,,1892676,897.13,656,22.428
E0,E,clean,40,0.0125,0.0125,0.025,0.6,,,,,3321064,1199.18,505,29.979
E0f,E,clean,40,0.1125,0.1125,0.125,1.0,,,,,2497284,1142.39,358,28.56
E1,E,enriched,40,0.1375,0.1375,0.15,0.6,,,,,3172858,1311.39,474,32.785
E1f,E,enriched,40,0.1125,0.1125,0.125,1.0,,,,,2480989,1702.53,364,42.563
F0f,F,clean,40,0.475,0.475,0.6,1.0,,,,,658133,521.88,433,13.047
F1f,F,enriched,40,0.475,0.475,0.575,1.0,,,,,803127,658.36,589,16.459
S0,S,clean,40,0.15,0.15,0.45,0.6,,,,,788787,151.04,123,3.776
S0f,S,clean,40,0.1625,0.1625,0.65,1.0,,,,,974870,116.96,91,2.924
S1,S,enriched,40,0.15,0.15,0.55,0.6,,,,,1047009,83.29,142,2.082
S1f,S,enriched,40,0.1625,0.1625,0.65,1.0,,,,,974870,0.0,91,0.0
