condition,method,state,cases,Top-1,Acceptable,Cand-Recall,Routing-Acc,Step-Coverage,Gap-Detection,Refusal-Rate,False-Pick-Rate,total_tokens,total_latency_s,total_llm_calls,avg_latency_per_case_s
A0,A,clean,20,0.0,0.0,0.0,0.0,,,0.0,1.0,1010631,25.2,40,1.26
A1,A,enriched,20,0.0,0.0,0.0,0.0,,,0.0,1.0,1418450,0.0,40,0.0
B0,B,clean,20,0.0,0.0,0.0,0.0,,,0.4,0.6,191998,325.94,225,16.297
B1,B,enriched,20,0.0,0.0,0.0,0.0,,,0.45,0.55,215529,79.87,225,3.993
C0,C,clean,20,0.0,0.0,0.0,0.0,,,0.65,0.35,135277,197.74,134,9.887
C1,C,enriched,20,0.0,0.0,0.0,0.0,,,0.85,0.15,222400,168.59,134,8.429
D0,D,clean,20,0.0,0.0,0.0,0.0,,,0.45,0.55,1369692,626.11,504,31.305
D1,D,enriched,20,0.0,0.0,0.0,0.0,,,0.4,0.6,1622453,637.43,521,31.871
E0,E,clean,20,0.0,0.0,0.0,0.0,,,0.95,0.05,1981290,888.53,320,44.427
E1,E,enriched,20,0.0,0.0,0.0,0.0,,,0.9,0.1,799037,531.09,176,26.554
F0,F,clean,20,0.0,0.0,0.0,0.0,,,0.15,0.85,1182182,660.6,520,33.03
F1,F,enriched,20,0.0,0.0,0.0,0.0,,,0.3,0.7,1153990,1856.03,646,92.802
S0,S,clean,20,0.0,0.0,0.0,0.0,,,0.0,1.0,683883,117.15,87,5.857
S1,S,enriched,20,0.0,0.0,0.0,0.0,,,0.0,1.0,683883,0.0,87,0.0
