case_id,expected_mode,expected_skill,difficulty,A0_routing,A0_top1,A0_accept,A0_skill,B0_routing,B0_top1,B0_accept,B0_skill,C0_routing,C0_top1,C0_accept,C0_skill,D0_routing,D0_top1,D0_accept,D0_skill,S0_routing,S0_top1,S0_accept,S0_skill,A1_routing,A1_top1,A1_accept,A1_skill,B1_routing,B1_top1,B1_accept,B1_skill,C1_routing,C1_top1,C1_accept,C1_skill,D1_routing,D1_top1,D1_accept,D1_skill,S1_routing,S1_top1,S1_accept,S1_skill,E0_routing,E0_top1,E0_accept,E0_skill,E1_routing,E1_top1,E1_accept,E1_skill,F0_routing,F0_top1,F0_accept,F0_skill,F1_routing,F1_top1,F1_accept,F1_skill,B0gf_routing,B0gf_top1,B0gf_accept,B0gf_skill,C0gf_routing,C0gf_top1,C0gf_accept,C0gf_skill,D0gf_routing,D0gf_top1,D0gf_accept,D0gf_skill,E0gf_routing,E0gf_top1,E0gf_accept,E0gf_skill,S0gf_routing,S0gf_top1,S0gf_accept,S0gf_skill,A1gf_routing,A1gf_top1,A1gf_accept,A1gf_skill,B1gf_routing,B1gf_top1,B1gf_accept,B1gf_skill,C1gf_routing,C1gf_top1,C1gf_accept,C1gf_skill,D1gf_routing,D1gf_top1,D1gf_accept,D1gf_skill,E1gf_routing,E1gf_top1,E1gf_accept,E1gf_skill,S1gf_routing,S1gf_top1,S1gf_accept,S1gf_skill,A0gf_routing,A0gf_top1,A0gf_accept,A0gf_skill
sa-01,skill_adjusted,proc_033,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-02,skill_adjusted,proc_026,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-03,skill_adjusted,proc_029,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-04,skill_adjusted,proc_031,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-05,skill_adjusted,proc_021,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-06,skill_adjusted,proc_009,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-07,skill_adjusted,proc_014,hard,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,,,,
sa-08,skill_adjusted,proc_020,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-09,skill_adjusted,proc_012,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa-10,skill_adjusted,proc_008,hard,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
