condition,method,state,cases,Top-1,Acceptable,Cand-Recall,Routing-Acc,Step-Coverage,Gap-Detection,Refusal-Rate,False-Pick-Rate,total_tokens,total_latency_s,total_llm_calls,avg_latency_per_case_s
A0,A,clean,20,0.0,0.0,0.0,0.9,,0.275,,,1247971,0.0,20,0.0
A0gf,A,clean,1,,,,1.0,,1.0,,,41191,0.0,0,0.0
A1,A,enriched,20,0.0,0.0,0.0,0.9,,0.3,,,1768591,0.0,20,0.0
A1gf,A,enriched,2,,,,1.0,,1.0,,,117084,0.0,0,0.0
B0,B,clean,20,0.0,0.0,0.0,0.9,,0.2,,,185223,0.0,260,0.0
B0gf,B,clean,2,,,,1.0,,0.5,,,11444,0.0,0,0.0
B1,B,enriched,20,0.0,0.0,0.0,0.9,,0.2,,,208260,59.27,260,2.964
B1gf,B,enriched,2,,,,1.0,,0.5,,,13002,0.0,0,0.0
C0,C,clean,20,0.0,0.0,0.0,0.9,,0.05,,,127762,135.15,140,6.758
C0gf,C,clean,2,,,,1.0,,0.0,,,7857,0.0,0,0.0
C1,C,enriched,20,0.0,0.0,0.0,0.9,,0.075,,,231830,1331.38,140,66.569
C1gf,C,enriched,2,,,,1.0,,0.25,,,15237,0.0,0,0.0
D0,D,clean,20,0.0,0.0,0.0,0.9,,0.225,,,1406770,2670.17,575,133.508
D0gf,D,clean,2,,,,1.0,,0.25,,,85801,0.0,0,0.0
D1,D,enriched,20,0.0,0.0,0.0,0.9,,0.275,,,1622255,812.51,549,40.626
D1gf,D,enriched,2,,,,1.0,,1.0,,,88045,0.0,0,0.0
E0,E,clean,20,0.0,0.0,0.0,0.9,,0.05,,,1908735,952.24,286,47.612
E0gf,E,clean,2,,,,1.0,,0.0,,,317915,0.0,0,0.0
E1,E,enriched,20,0.0,0.0,0.0,0.9,,0.025,,,2521745,1246.42,358,62.321
E1gf,E,enriched,2,,,,1.0,,0.0,,,308974,0.0,0,0.0
F0,F,clean,20,0.0,0.0,0.0,0.9,,0.325,,,562725,479.92,342,23.996
F1,F,enriched,20,0.0,0.0,0.0,0.9,,0.3,,,715450,539.85,499,26.992
S0,S,clean,20,0.0,0.0,0.0,0.9,,0.225,,,829256,85.23,80,4.261
S0gf,S,clean,2,,,,1.0,,0.25,,,54478,0.0,0,0.0
S1,S,enriched,20,0.0,0.0,0.0,0.9,,0.225,,,829256,2.2,80,0.11
S1gf,S,enriched,2,,,,1.0,,0.25,,,54478,0.0,0,0.0
