condition,method,state,cases,Top-1,Acceptable,Cand-Recall,Routing-Acc,Step-Coverage,Gap-Detection,total_tokens,total_latency_s,total_llm_calls,avg_latency_per_case_s
A0,A,clean,64,0.625,0.7344,0.9688,0.8125,0.9934,0.8375,595936,271.21,113,4.238
A1,A,enriched,65,0.6308,0.7385,0.9846,0.8154,0.9938,0.8375,827251,0.0,115,0.0
B0,B,clean,65,0.6308,0.7385,0.9385,0.8154,0.9938,0.8375,247944,513.62,492,7.902
B1,B,enriched,65,0.6308,0.7385,0.9385,0.8154,0.9938,0.8375,247944,0.0,492,0.0
C0,C,clean,65,0.6,0.6923,0.8923,0.8154,0.9938,0.8375,242716,336.54,305,5.178
C1,C,enriched,23,0.7391,0.913,0.8696,0.913,1.0,0.5,55558,0.0,65,0.0
D0,D,clean,65,0.6769,0.7538,0.9231,0.8154,0.9938,0.8375,1912194,1128.1,874,17.355
D1,D,enriched,17,0.9412,0.9412,1.0,0.9412,1.0,0.0,22760,0.0,34,0.0
E0,E,clean,51,0.5882,0.6863,0.8431,0.8627,0.9938,0.8375,3230309,1304.34,462,25.575
E1,E,enriched,41,0.6341,0.7317,0.8049,0.7317,1.0,0.0,1711628,828.33,290,20.203
